Smiles,IC50,pIC50
Cc1cc(Nc2nn(-c3ccc(Cl)cc3)c(=O)c3ccccc23)n[nH]1,1186.0,5.925915310971756
CSc1ccc2c(Nc3cc(C)[nH]n3)nn(C(C)C)c(=O)c2c1,1570.0,5.804100347590766
O=[N+]([O-])c1ccccc1COc1ccc(Nc2nccc(-c3nccs3)n2)cc1,2000.0,5.698970004336019
COC(=O)c1ccc(COc2ccc(Nc3nccc(-c4nccs4)n3)cc2)cc1,2000.0,5.698970004336019
CN(C)c1ccc(-c2cc3ncccc3c(NCc3ccc(N)cc3)n2)cc1,13000.0,4.886056647693163
Cc1cc(Nc2nn(C(C)C)c(=O)c3ccc(N4CCOCC4)cc23)n[nH]1,36400.0,4.438898616350944
CN(C)C[C@@H]1CN(c2ccc(Nc3nc(-c4ccc5cn[nH]c5c4)cn4ccnc34)cc2)CCO1,0.9,9.045757490560675
c1cn2cc(-c3ccc4cn[nH]c4c3)nc(Nc3ccc(N4CCN(C5COC5)CC4)cc3)c2n1,9.2,8.036212172654444
c1cn2cc(-c3cnc4nc[nH]c4c3)nc(Nc3ccc(N4CCN(C5COC5)CC4)cc3)c2n1,13.4,7.872895201635193
c1cn2cc(-c3cnc4nc[nH]c4n3)nc(Nc3ccc(N4CCN(C5COC5)CC4)cc3)c2n1,11.5,7.939302159646388
C[C@@H](Oc1cc(-c2cnn(C(F)F)c2)cc2nscc12)[C@H]1CNC(=O)C1,57.0,7.2441251443275085
Cc1nn(-c2ccnc(Nc3ccc4c(c3)c(Cl)c(C)n4C)n2)cc1CN1C[C@H](O)C[C@H]1C,10.0,8.0
Cn1ccc(-n2ccc3c(Nc4nc(N[C@@H]5CCCC[C@@H]5N)nnc4C(N)=O)cccc32)n1,0.36,9.443697499232712
CCOC(=O)[C@@H]1CC[C@@](O)(c2ncc(-c3cc(C)cc(Nc4nccc(C(F)(F)F)n4)c3)s2)CC1(C)C,49.0,7.309803919971486
NC(=O)N1CCC(O)(c2ncc(-c3cccc(Nc4nccc(C(F)(F)F)n4)c3)s2)C1,11.0,7.958607314841775
C=NC.Cc1cc(Nc2cc(C(F)F)ccn2)nc(-c2ccc(C(C)(O)[C@H]3CC[C@H](CO)CC3)nc2)c1,1.0,9.0
NC(=O)c1ccc(NC2CCCCC2N)cc1Nc1ccccc1Br,33.0,7.481486060122112
CNc1ncc2cc(-c3cc(C(=O)Nc4cc(C(F)(F)F)ccc4OC4CCN(C)CC4)ccc3C)ccc2n1,1110.0,5.954677021213342
c1cc2nc(-c3ccc4cn[nH]c4c3)nc(Nc3ccc(N4CCOCC4)cc3)c2[nH]1,9545.0,5.0202240672703144
COc1cc(Nc2nc(N[C@H]3CCCC[C@H]3N)n3ncnc3c2C(N)=O)cc(OC)c1,4.0,8.397940008672037
COc1cc(Nc2nc(NC3CCCC[C@H]3N)n3cnnc3c2C(N)=O)cc(OC)c1,3.7,8.431798275933005
COc1cc(Nc2nc(NCCN)n3cnnc3c2C(N)=O)cc(OC)c1,9.0,8.045757490560675
CN(C)c1ccc(-c2cc3ncccc3c(NCC(O)CN)n2)cc1,43.0,7.366531544420414
CS(=O)(=O)c1cccc(Oc2cccc(Nc3nccc(-c4nccs4)n3)c2)c1,500.0,6.301029995663981
NCCCNc1nc(-c2cccc(C(F)(F)F)c2)cc2ncccc12,830.0,6.080921907623926
